STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/17,82,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/18,81,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/19,75,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/20,70,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/21,68,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/22,69,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/23,78,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/24,80,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/25,63,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/26,74,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/27,78,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/28,78,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/29,69,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/9/30,72,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/1,78,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/2,78,56
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/3,78,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/4,77,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/5,77,54
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/6,78,53
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/7,78,55
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/8,64,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/9,64,44
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/10,58,51
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/11,58,50
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/12,52,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/13,64,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/14,66,38
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/15,67,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/16,65,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/17,64,48
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/18,66,41
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/19,64,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/20,56,36
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/21,56,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/22,56,37
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/23,58,47
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/24,54,42
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/25,48,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/26,53,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/27,55,31
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/28,55,33
